,,,,bitter,sweet,tasteless
FDB021066,1-O-Sinapoylglucose,COC1=CC(\C=C\C(=O)OC2OC(CO)C(O)C(O)C2O)=CC(OC)=C1O,TRUE,0.670000017,0,0.340000004
FDB002940,2-Octenal,CCCCC\C=C/C=O,TRUE,0,0.790000021,0.330000013
FDB004121,Oct-2-en-1-al,[H]C(=O)C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],TRUE,0,0.790000021,0.330000013
FDB004389,"2,6,6-Trimethylcyclohex-2-en-1,4-dione",CC1=CC(=O)CC(C)(C)C1=O,TRUE,0,0.790000021,0.330000013
FDB007150,trans-Octen-2-al,[H]\C(CCCCC)=C(\[H])C=O,TRUE,0,0.790000021,0.330000013
FDB011129,4-(2-Furanyl)-3-buten-2-one,CC(=O)\C=C/C1=CC=CO1,TRUE,0.01,0.689999998,0.330000013
FDB016296,Isoeugenol phenylacetate,COC1=C(OC(=O)CC2=CC=CC=C2)C=CC(\C=C/C)=C1,TRUE,0.01,0.649999976,0.330000013
FDB011884,Quercitrin,C[C@@H]1O[C@@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,TRUE,0.400000006,0.25,0.330000013
FDB012030,Taxifolin 3-rhamnoside,C[C@@H]1O[C@@H](O[C@@H]2[C@H](OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,TRUE,0.400000006,0.25,0.330000013
FDB012726,Myricetin 3-rhamnoside,CC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O,TRUE,0.400000006,0.25,0.330000013
FDB016491,Kaempferol 3-rhamnoside,CC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C(O)C1O,TRUE,0.400000006,0.25,0.330000013
FDB016584,Aromadendrin 3-rhamnoside,CC1OC(OC2C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C(O)C1O,TRUE,0.400000006,0.25,0.330000013
FDB016681,Galangin 7-rhamnoside,[H]C1(C)O[C@@]([H])(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=CC=C2)[C@@]([H])(O)C([H])(O)[C@@]1([H])O,TRUE,0.400000006,0.25,0.330000013
FDB021841,Dihydromyricetin 3-rhamnoside,CC1OC(OC2C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O,TRUE,0.400000006,0.25,0.330000013
FDB014328,gamma-Carotene,CC(C)=CCC\C(C)=C/C=C\C(\C)=C\C=C\C(\C)=C\C=C/C=C(\C)/C=C/C=C(/C)\C=C\C1=C(C)CCCC1(C)C,TRUE,0.140000001,0.07,0.330000013
FDB016311,2-Butyl-3-phenyl-2-propen-1-al,CCCC\C(C=O)=C\C1=CC=CC=C1,TRUE,0,0.75999999,0.319999993
FDB003023,Ethyl (E)-2-dodecenoate,CCCCCCCCC\C=C\C(=O)OCC,TRUE,0,0.680000007,0.319999993
FDB003047,"Ethyl 2E,4Z-hexadecadienoate",CCCCCCCCCCC\C=C/C=C/C(=O)OCC,TRUE,0,0.680000007,0.319999993
FDB003316,Ethyl (E)-2-nonenoate,CCCCCC\C=C/C(=O)OCC,TRUE,0,0.680000007,0.319999993
FDB003347,2-Octenyl acetate,CCCCC\C=C/COC(C)=O,TRUE,0,0.680000007,0.319999993
FDB016351,Ethyl 2-decenoate,CCCCCCC\C=C\C(=O)OCC,TRUE,0,0.680000007,0.319999993
FDB016192,Rhodinyl isovalerate,CC(C)CC(=O)OCCC(C)CCCC(C)=C,TRUE,0.280000001,0.370000005,0.319999993
FDB006020,trans-Rose oxide,CC1CCOC(C1)C=C(C)C,TRUE,0.200000003,0.159999996,0.319999993
FDB015915,Scillipheosidin 3-[glucosyl-(1->2)-rhamnoside],CC1OC(OC2CCC3(C)C4CC(O)C5(C)C(CCC5(O)C4CCC3=C2)C2=COC(=O)C=C2)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,TRUE,0.680000007,0.02,0.319999993
FDB022891,Phenylephrine,CNC[C@H](O)C1=CC(O)=CC=C1,TRUE,0.540000021,0.01,0.319999993
FDB000238,Feruloyl glucose,COC1=C(O)C=CC(\C=C\C(=O)OC2OC(CO)C(O)C(O)C2O)=C1,TRUE,0.709999979,0,0.319999993
FDB001666,trans-p-Feruloyl-beta-D-glucopyranoside,COC1=C(O)C=CC(\C=C\C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C1,TRUE,0.709999979,0,0.319999993
FDB020863,Vulgarolide,CC12CCC(O)OC1C1OC(=O)C(=C)C1CCC(=O)C2,TRUE,0.5,0,0.319999993
FDB016832,Isoamyl cinnamate,CC(C)CCOC(=O)\C=C/C1=CC=CC=C1,TRUE,0,0.699999988,0.310000002
FDB019204,Ethyl crotonate,CCOC(=O)\C=C/C,TRUE,0,0.680000007,0.310000002
FDB020216,Ethyl sorbate,CCOC(=O)\C=C\C=C\C,TRUE,0,0.680000007,0.310000002
FDB016857,Furfuryl pentanoate,CCCCC(=O)OCC1=CC=CO1,TRUE,0.01,0.629999995,0.310000002
FDB020066,Lavandulifolioside,CC1OC(OC2C(O)C(OCCC3=CC(O)=C(O)C=C3)OC(CO)C2OC(=O)\C=C/C2=CC(O)=C(O)C=C2)C(OC2OCC(O)C(O)C2O)C(O)C1O,TRUE,0.419999987,0.039999999,0.310000002
FDB017571,2-Hexenyl valerate,CCCCC(=O)OC\C=C\CCC,TRUE,0,0.769999981,0.300000012
FDB016849,2-Phenylethyl 2-methylbutanoate,CCC(C)C(=O)OCCC1=CC=CC=C1,TRUE,0.01,0.74000001,0.300000012
FDB001872,Hentriacontan-8-one,CCCCCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB001874,Tritriacontan-10-one,CCCCCCCCCCCCCCCCCCCCCCCC(=O)CCCCCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB001875,Tritriacontan-12-one,CCCCCCCCCCCCCCCCCCCCCC(=O)CCCCCCCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB001876,Tritriacontan-14-one,CCCCCCCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB001877,Tritriacontan-16-one,CCCCCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB001878,Tritriacontan-8-one,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)CCCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB003012,2-Dodecanone,CCCCCCCCCCC(C)=O,TRUE,0.119999997,0.550000012,0.300000012
FDB003030,Palmitone,CCCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB003052,2-Hexadecanone,CCCCCCCCCCCCCCC(C)=O,TRUE,0.119999997,0.550000012,0.300000012
FDB003086,2-Pentadecanone,CCCCCCCCCCCCCC(C)=O,TRUE,0.119999997,0.550000012,0.300000012
FDB003308,2-Nonanone,CCCCCCCC(C)=O,TRUE,0.119999997,0.550000012,0.300000012
FDB003309,3-Nonanone,CCCCCCC(=O)CC,TRUE,0.119999997,0.550000012,0.300000012
FDB003344,2-Octanone,CCCCCCC(C)=O,TRUE,0.119999997,0.550000012,0.300000012
FDB003484,2-Decanone,CCCCCCCCC(C)=O,TRUE,0.119999997,0.550000012,0.300000012
FDB003633,Heptadecanone,CCCCCCCCCCC(=O)CCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB003657,Pentadecanone,CCCCCCCCC(=O)CCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB005050,Methylheptanone,CCCCCC(=O)CC,TRUE,0.119999997,0.550000012,0.300000012
FDB007153,Tritriacontanone,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)=O,TRUE,0.119999997,0.550000012,0.300000012
FDB011202,15-Nonacosanone,CCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB011831,2-Undecanone,CCCCCCCCCC(C)=O,TRUE,0.119999997,0.550000012,0.300000012
FDB011838,10-Nonacosanone,CCCCCCCCCCCCCCCCCCCC(=O)CCCCCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB012424,2-Tridecanone,CCCCCCCCCCCC(C)=O,TRUE,0.119999997,0.550000012,0.300000012
FDB019151,3-Tritriacontanone,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)CC,TRUE,0.119999997,0.550000012,0.300000012
FDB020744,7-Pentacosanone,CCCCCCCCCCCCCCCCCCC(=O)CCCCCC,TRUE,0.119999997,0.550000012,0.300000012
FDB003360,"3-Hydroxy-4,5-dimethyl-2(5H)-furanone",CC1OC(=O)C(O)=C1C,TRUE,0,0.389999986,0.300000012
FDB000819,"2,4,5-Trimethoxybenzaldehyde",COC1=CC(OC)=C(OC)C=C1C=O,TRUE,0.100000001,0.140000001,0.300000012
FDB006021,(+)-Neomenthyl acetate,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1OC(C)=O,TRUE,0.419999987,0.07,0.300000012
FDB006041,(+)-Menthyl acetate,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(C)=O,TRUE,0.419999987,0.07,0.300000012
FDB006170,Isomenthol acetate,CC(C)[C@@H]1CC[C@H](C)C[C@H]1OC(C)=O,TRUE,0.419999987,0.07,0.300000012
FDB006176,Neoisomenthol acetate,CC(C)[C@H]1CC[C@@H](C)C[C@H]1OC(C)=O,TRUE,0.419999987,0.07,0.300000012
FDB000591,Eupatilin,COC1=CC=C(C=C1OC)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O,TRUE,0.569999993,0.02,0.300000012
FDB002751,Nevadensin,COC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C(OC)=C(O)C(OC)=C2O,TRUE,0.569999993,0.02,0.300000012
FDB011330,Hymenoxin,COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O)C(OC)=C(O)C(OC)=C2O1,TRUE,0.569999993,0.02,0.300000012
FDB016357,Sudachitin,COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C(OC)=C(O)C(OC)=C2O1,TRUE,0.569999993,0.02,0.300000012
FDB016820,"3',4',5'-Trimethoxytricetin",COC1=CC(=CC(OC)=C1OC)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,TRUE,0.569999993,0.02,0.300000012
FDB007103,Diazepam,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,TRUE,0.800000012,0,0.300000012
FDB008233,2-Pentenal,CC\C=C/C=O,TRUE,0,0.709999979,0.289999992
FDB008347,"2,4-Heptadienal",CC\C=C/C=C/C=O,TRUE,0,0.709999979,0.289999992
FDB016830,Butyl cinnamate,CCCCOC(=O)\C=C/C1=CC=CC=C1,TRUE,0,0.689999998,0.289999992
FDB019850,3-Mercaptohexanol,CCCC(S)CCO,TRUE,0.219999999,0.07,0.289999992
FDB001146,Lucuminoside,OC1COC(OCC2OC(OC(C#N)C3=CC=CC=C3)C(O)C(O)C2O)C(O)C1O,TRUE,0.090000004,0.01,0.289999992
FDB017775,Glucobrassicanapin,OCC1OC(S\C(CCCC=C)=N\OS(O)(=O)=O)C(O)C(O)C1O,TRUE,0.720000029,0,0.289999992
FDB017785,Gluconapin,OCC1OC(S\C(CCC=C)=N\OS(O)(=O)=O)C(O)C(O)C1O,TRUE,0.720000029,0,0.289999992
FDB016189,Rhodinyl propionate,CCC(=O)OCCC(C)CCCC(C)=C,TRUE,0.02,0.620000005,0.280000001
FDB016190,Rhodinyl butyrate,CCCC(=O)OCCC(C)CCCC(C)=C,TRUE,0.02,0.620000005,0.280000001
FDB014070,Ginsenoside C,CC1OC(OC2C(O)C(O)C(CO)OC2OC2CC3(C)C(CC(O)C4C(CCC34C)C(C)(O)CCC=C(C)C)C3(C)CCC(O)C(C)(C)C23)C(O)C(O)C1O,TRUE,0.059999999,0.50999999,0.280000001
FDB000146,Jaceosidin,COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O,TRUE,0.419999987,0.090000004,0.280000001
FDB002440,Tricin,COC1=CC(=CC(OC)=C1O)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,TRUE,0.419999987,0.090000004,0.280000001
FDB016378,"3',4'-Dimethylquercetin",COC1=C(OC)C=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,TRUE,0.419999987,0.090000004,0.280000001
FDB020043,"3,5,7-Trihydroxy-4',6-dimethoxyflavanone",COC1=CC=C(C=C1)C1OC2=C(C(=O)C1O)C(O)=C(OC)C(O)=C2,TRUE,0.419999987,0.090000004,0.280000001
FDB003059,Sciadonic acid,CCCCC\C=C\C\C=C\CCCC\C=C/CCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB003105,"(all-Z)-7,10,13-Docosatrienoic acid",CCCCCCCC\C=C\C\C=C/C\C=C/CCCCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB006562,Linonelic acid,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB011872,Arachidonic acid,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB012619,"(Z,Z)-11,14-Eicosadienoic acid",CCCCC\C=C\C\C=C\CCCCCCCCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB012760,"(Z,Z)-9,12-Octadecadienoic acid",[H]\C(CCCCC)=C(/[H])C\C([H])=C(/[H])CCCCCCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB018642,"(Z,Z)-5,8-Tetradecadienoic acid",CCCCC\C=C/C\C=C/CCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB022064,"7Z,10Z-Hexadecadienoic acid",CCCCCC=CCC=CCCCCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB022918,Adrenic acid,CCCCCC=CCC=CCC=CCC=CCCCCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB023082,"8,11,14-Eicosatrienoic acid",CCCCCC=CCC=CCC=CCCCCCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB023868,Linoelaidic acid,CCCCC\C=C\C\C=C\CCCCCCCC(O)=O,TRUE,0.629999995,0.050000001,0.280000001
FDB010797,Corchorusoside B,CC1OC(CC(O)C1OC1OC(CO)C(O)C(O)C1O)OC1CCC2(C)C(CCC3C2C(O)CC2(C)C(CCC32O)C2=CC(=O)OC2)C1,TRUE,0.790000021,0.02,0.280000001
FDB010799,Corchorusoside A,CC1OC(CC(O)C1OC1OC(CO)C(O)C(O)C1O)OC1CCC2(C)C3C(O)CC4(C)C(CCC4(O)C3CCC2(O)C1)C1=CC(=O)OC1,TRUE,0.790000021,0.02,0.280000001
FDB011032,Corchorusoside C,CC1OC(CC(O)C1OC1OC(CO)C(O)C(O)C1O)OC1CCC2(C)C3CCC4(C)C(CCC4(O)C3CCC2(O)C1)C1=CC(=O)OC1,TRUE,0.790000021,0.02,0.280000001
FDB011818,Coroloside,CC1OC(CC(O)C1OC1OC(CO)C(O)C(O)C1O)OC1CCC2(C)C(CCC3C2CCC2(C)C(CCC32O)C2=CC(=O)OC2)C1,TRUE,0.790000021,0.02,0.280000001
FDB012673,"Digitoxigenin 3-[glucosyl-(1->6)-glucosyl-(1->4)-2,6-dideoxyribohexoside]",CC1OC(CC(O)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC1CCC2(C)C(CCC3C2CCC2(C)C(CCC32O)C2=CC(=O)OC2)C1,TRUE,0.790000021,0.02,0.280000001
FDB017229,Evobioside,CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(CCC43O)C3=CC(=O)OC3)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,TRUE,0.790000021,0.02,0.280000001
FDB000375,Asparagoside B,CC(CCC1(O)OC2CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB000976,Isoeruboside B,CC1C2C(CC3C4CC(O)C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(O)C4O)C3OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB000992,Protoisoeruboside B,CC(CCC1(O)OC2CC3C4CC(O)C5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB001351,Gitonin,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB001353,Uttronin A,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OCC(O)C(O)C4O)C3OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB001356,Melongoside P,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(O)C(OC2OC(C)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB001531,Officinalisnin I,C[C@H](CC[C@@]1(O)O[C@H]2C[C@H]3[C@@H]4CC[C@@H]5C[C@H](CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,TRUE,0.769999981,0,0.280000001
FDB002054,Neotigogenin 3-[4''-glucosyl-6''-arabinosylglucoside],CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(COC3OCC(O)C(O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB003420,Capsicosin,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(O)C(OC7OC(CO)C(OC8OC(CO)C(O)C(OC9OC(CO)C(O)C(O)C9O)C8OC8OC(CO)C(O)C(O)C8O)C(O)C7O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB003431,Ampeloside Bs1,CC1C2C(CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB004142,Bioside,C[C@H]1C2C(CC3C4CCC5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)C4C[C@H](O)[C@]23C)O[C@]11CCCCO1,TRUE,0.769999981,0,0.280000001
FDB004182,Officinalisin II,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OCC(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB008565,Ampeloside Bf2,CC(CCC1(O)OC2CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB008566,Ampeloside Bf1,CC(CCC1(O)OC2CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB011435,Yayoisaponin C,CC1C2C(CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB011437,Yayoisaponin A,CC1C2C(CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB012341,Capsicoside A,CC(CCC1(O)OC2CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB012342,Tomatoside A,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB012480,Melongoside N,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB012652,Tuberoside D,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB013110,Sarsasapogenin 3-[2''-glucosyl-4''-xylosylglucoside],CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OCC(O)C(O)C3O)C(O)C2OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB013111,Aginoside progenin,CC1C2C(CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB014176,25-Epiruizgenin 3-[4''-rhamnosylglucoside],CC1C2C(CC3C4CC(O)C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB015101,Schidigerasaponin F1,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB015102,Schidigerasaponin F2,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB015103,"b-Chlorogenin 3-[2'',4''-dirhamnosylglucoside]",CC1C2C(CC3C4CC(O)C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2OC2OC(C)C(O)C(O)C2O)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB015104,Schidigerasaponin D1,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(OC3OCC(O)C(O)C3O)C2OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB015379,Trigoneoside XIb,CC(CCC1(O)OC2CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OCC(O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB015380,Trigoneoside Xa,CC(CCC1(O)OC2CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB018480,Cistocardin,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,TRUE,0.769999981,0,0.280000001
FDB018967,Tuberoside K,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(CO)CO1,TRUE,0.769999981,0,0.280000001
FDB018968,Tuberoside J,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(CO)CO1,TRUE,0.769999981,0,0.280000001
FDB018969,Tuberoside L,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(COC2OC(CO)C(O)C(O)C2O)CO1,TRUE,0.769999981,0,0.280000001
FDB019090,Trigofoenoside B,CC(CCC1(O)OC2CC3C4CCC5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB019091,Trigofoenoside C,CC(CCC1(O)OC2CC3C4CCC5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
FDB019350,Sativoside B1,CC(CCC1(O)OC2CC3C4CC(O)C5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,TRUE,0.769999981,0,0.280000001
